participant.label,player.opinion_war,player.proportion,player.own_dg_belief,own_position,player.dg_decision,dictator_label,rpayoff,belief_column_name,belief_value,belief_match,get_belief_payoff,belief_payoff,total_payoff
0002028d5b--62976f068753764e91f3f634,0.0,75.0,0.0,0.0,-50.0,00020297df--629797ba1cd4a2502e02e607,0.0,player.own_dg_belief,0.0,50.0,False,0.0,0.0
0002028d5b--62975da3aee53a0f1ca1c909,0.0,60.0,0.0,0.0,0.0,00020297df--6297a523e796a155f014d457,50.0,player.proportion,60.0,10.920000000000002,True,0.25,0.75
0002028d5b--62975daac4f9241828c612d7,0.0,60.0,0.0,0.0,-50.0,00020297df--6297a52485c5c060cecbb70d,0.0,player.proportion,60.0,10.920000000000002,True,0.25,0.25
0002028d5b--62975db48d75da35c17c60cc,0.0,50.0,-50.0,0.0,30.0,00020297df--6297a4f5318cc4235d1908a6,80.0,player.proportion,50.0,20.92,False,0.0,0.8
0002028d5b--62975d23035b7842af53f16b,0.0,40.0,0.0,0.0,0.0,00020297df--6297a52e5bb53b198cc4e94a,50.0,player.own_dg_belief,0.0,0.0,True,0.25,0.75
0002028d5b--62975db0ce71890706f1b41d,0.0,35.0,-20.0,0.0,0.0,00020297df--6297a4e86789b1401e9a5f1d,50.0,player.own_dg_belief,-20.0,20.0,False,0.0,0.5
0002028d5b--62975d9ec3e04913dbaeab16,0.0,50.0,0.0,0.0,-50.0,00020297df--6297a4dae796a155f014cf15,0.0,player.proportion,50.0,20.92,False,0.0,0.0
0002028d5b--629760ad56b7cb048e22ddfa,0.0,70.0,20.0,0.0,0.0,00020297df--6297a45155a6576a01d51a80,50.0,player.proportion,70.0,0.9200000000000017,True,0.25,0.75
0002028d5b--62975d90fc16bb14cdf12532,0.0,30.0,-50.0,0.0,0.0,00020297df--6297a57b6789b1401e9a65dd,50.0,player.own_dg_belief,-50.0,50.0,False,0.0,0.5
0002028d5b--6297610adf858e094c945de2,0.0,50.0,0.0,0.0,0.0,00020297df--6297a425095c8b3014b2c67c,50.0,player.proportion,50.0,20.92,False,0.0,0.5
0002028d5b--629761061a1597570c3b4d13,0.0,80.0,0.0,0.0,-40.0,00020297df--6297a4240db9233408659bb3,10.0,player.own_dg_belief,0.0,40.0,False,0.0,0.1
