participant.label,player.dg_decision,player.partner_position,player.proportion,player.average_dg_belief,rpayoff,belief_column_name,belief_value,belief_match,get_belief_payoff,belief_payoff,total_payoff
00020297df--629797ba1cd4a2502e02e607,-50.0,no,50.0,50.0,150.0,player.average_dg_belief,50.0,50.0,False,0.0,1.5
00020297df--629797ca55a6576a01d47bc9,0.0,no,80.0,0.0,100.0,player.proportion,80.0,9.079999999999998,True,0.25,1.25
00020297df--629797c1ce71890706f46ac8,0.0,no,75.0,-30.0,100.0,player.average_dg_belief,-30.0,30.0,False,0.0,1.0
00020297df--629797d8035b7842af56f7f6,10.0,yes,70.0,30.0,90.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.15
00020297df--629797e3c3e04913dbb22fa4,0.0,no,65.0,50.0,100.0,player.proportion,65.0,5.920000000000002,True,0.25,1.25
00020297df--629797da4796d7421d164393,20.0,yes,60.0,-50.0,80.0,player.average_dg_belief,-50.0,50.0,False,0.0,0.8
00020297df--629797d155a6576a01d47c16,0.0,no,90.0,0.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
00020297df--629797dd4796d7421d1643af,-30.0,no,70.0,-40.0,130.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.55
00020297df--629797e6286bd91e83d9d3d1,0.0,yes,89.0,0.0,100.0,player.proportion,89.0,18.08,False,0.0,1.0
00020297df--629797e81a1597570c3db976,-30.0,yes,60.0,-50.0,130.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.3
00020297df--629797f7f97bee03d01633e8,0.0,no,20.0,50.0,100.0,player.average_dg_belief,50.0,50.0,False,0.0,1.0
00020297df--629797faba0e0c481ed3291f,0.0,no,80.0,0.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
00020297df--6297980d3e70ba48f9787d2d,-10.0,yes,75.0,-30.0,110.0,player.average_dg_belief,-30.0,30.0,False,0.0,1.1
00020297df--6297980b631aea481297629d,0.0,yes,90.0,-50.0,100.0,player.proportion,90.0,19.08,False,0.0,1.0
00020297df--629797eac5079d57c580ffac,0.0,yes,70.0,0.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
00020297df--629798060f0a604a6d5a5f16,0.0,no,70.0,0.0,100.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.25
00020297df--62979805c5079d57c58100e8,20.0,yes,80.0,0.0,80.0,player.proportion,80.0,9.079999999999998,True,0.25,1.05
00020297df--6297980f75f2ea5422cfa81c,-50.0,no,90.0,-50.0,150.0,player.proportion,90.0,19.08,False,0.0,1.5
00020297df--62979813c2dd7967c039fa18,-50.0,no,80.0,-50.0,150.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.5
00020297df--62979824f97bee03d016370f,20.0,yes,80.0,20.0,80.0,player.average_dg_belief,20.0,20.0,False,0.0,0.8
00020297df--629798196789b1401e99bb85,0.0,yes,72.0,0.0,100.0,player.proportion,72.0,1.0799999999999983,True,0.25,1.25
00020297df--6297982de796a155f013d6f4,-50.0,yes,80.0,-50.0,150.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.5
00020297df--6297983ec4f9241828cade1f,50.0,no,90.0,50.0,50.0,player.proportion,90.0,19.08,False,0.0,0.5
00020297df--6297984f631aea4812976514,0.0,yes,50.0,0.0,100.0,player.proportion,50.0,20.92,False,0.0,1.0
00020297df--629797fca743b42b6ad06e83,0.0,no,80.0,0.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
00020297df--62979863286bd91e83d9db52,20.0,no,85.0,50.0,80.0,player.average_dg_belief,50.0,50.0,False,0.0,0.8
00020297df--6297985bab45cb7cbab74651,10.0,yes,82.0,10.0,90.0,player.proportion,82.0,11.079999999999998,False,0.0,0.9
00020297df--6297986627b7222acc7f2a56,0.0,no,10.0,-30.0,100.0,player.proportion,10.0,60.92,False,0.0,1.0
00020297df--629798804796d7421d164dd1,-50.0,yes,65.0,-40.0,150.0,player.proportion,65.0,5.920000000000002,True,0.25,1.75
00020297df--6297988755a82f0add582825,-30.0,no,70.0,-30.0,130.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.55
00020297df--62979883035b7842af5703a8,40.0,no,75.0,0.0,60.0,player.proportion,75.0,4.079999999999998,True,0.25,0.85
00020297df--629798b2035b7842af570792,50.0,yes,99.0,0.0,50.0,player.average_dg_belief,0.0,0.0,True,0.25,0.75
00020297df--629798ecf97bee03d016400f,20.0,yes,70.0,30.0,80.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.05
00020297df--629798e98d75da35c17ffd1a,0.0,yes,82.0,-50.0,100.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.0
00020297df--629798ef31ed680113398355,0.0,yes,75.0,0.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
00020297df--629798e28753764e91f65369,0.0,yes,35.0,50.0,100.0,player.average_dg_belief,50.0,50.0,False,0.0,1.0
00020297df--629798eb75f2ea5422cfb1ff,0.0,no,70.0,-50.0,100.0,player.proportion,70.0,0.9200000000000017,True,0.25,1.25
00020297df--629798c99e3b850db6202e42,0.0,yes,85.0,40.0,100.0,player.average_dg_belief,40.0,40.0,False,0.0,1.0
00020297df--629798e4e14f7b062a21f93d,-50.0,yes,99.0,-50.0,150.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.5
00020297df--629798fbc5228a2201b5124d,0.0,no,70.0,0.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
00020297df--629798f4631aea4812976c05,0.0,no,40.0,50.0,100.0,player.proportion,40.0,30.92,False,0.0,1.0
00020297df--629798e31b437b49aa7b412d,20.0,yes,90.0,-50.0,80.0,player.proportion,90.0,19.08,False,0.0,0.8
00020297df--629798f9e796a155f013e511,0.0,yes,78.0,40.0,100.0,player.average_dg_belief,40.0,40.0,False,0.0,1.0
00020297df--629798fc8753764e91f65463,30.0,yes,95.0,30.0,70.0,player.proportion,95.0,24.08,False,0.0,0.7
00020297df--629798f09e3b850db620309f,-30.0,yes,60.0,-50.0,130.0,player.proportion,60.0,10.920000000000002,True,0.25,1.55
00020297df--6297990185c5c060cecad185,0.0,yes,80.0,0.0,100.0,player.average_dg_belief,0.0,0.0,True,0.25,1.25
00020297df--629798f555a82f0add582d40,20.0,yes,60.0,20.0,80.0,player.average_dg_belief,20.0,20.0,False,0.0,0.8
00020297df--62979911b8c3540865cebdf6,-50.0,yes,80.0,-50.0,150.0,player.average_dg_belief,-50.0,50.0,False,0.0,1.5
