row_num,participant.label,player.recipient_reveal,player.opinion_war,player.proportion,player.own_dg_belief,player.vl_pro_belief,player.vl_contra_belief,own_position,player.dg_decision,dictator_label,rpayoff,belief_column_name,belief_value,belief_match,get_belief_payoff,belief_payoff,total_payoff
0,0002028871--629753d48d75da35c17bdf49,1.0,0.0,60.0,0.0,20.0,20.0,no,-20.0,00020297d6--6297a7430f0a604a6d5b2a0b,30.0,player.own_dg_belief,0.0,20.0,False,0.0,0.3
1,0002028871--629746e0ab45cb7cbab37c87,1.0,0.0,30.0,0.0,100.0,50.0,no,-50.0,00020297d6--6297a3960808263f55100cd7,0.0,player.vl_contra_belief,50.0,2.0,True,0.25,0.25
2,0002028871--629747fd8d75da35c17b26d3,1.0,0.0,70.0,0.0,80.0,30.0,no,20.0,00020297d6--62979a544796d7421d16717b,70.0,player.vl_pro_belief,80.0,27.1,False,0.0,0.7
3,0002028871--629746e627b7222acc7b2a99,1.0,0.0,10.0,-20.0,50.0,50.0,no,-10.0,00020297d6--62979a980209472a2f193c2c,40.0,player.own_dg_belief,-20.0,10.0,True,0.25,0.65
4,0002028871--6297469d9e3b850db61b2cef,1.0,0.0,30.0,30.0,30.0,70.0,no,-50.0,00020297d6--62979a86ce71890706f48a39,0.0,player.proportion,30.0,40.92,False,0.0,0.0
5,0002028871--62974808c4f9241828c4dd2a,1.0,0.0,75.0,0.0,85.0,90.0,no,0.0,00020297d6--6297a3a5ab45cb7cbab7d1c5,50.0,player.vl_contra_belief,90.0,38.0,False,0.0,0.5
6,0002028871--6297477375f2ea5422cbdefb,1.0,0.0,40.0,-20.0,50.0,50.0,no,0.0,00020297d6--62979a5d27b7222acc7f42b6,50.0,player.vl_pro_belief,50.0,2.8999999999999986,True,0.25,0.75
7,0002028871--629746a90bd50b27550511c1,1.0,0.0,30.0,30.0,30.0,70.0,no,0.0,00020297d6--6297a3b54796d7421d172411,50.0,player.vl_pro_belief,30.0,22.9,False,0.0,0.5
8,0002028871--62974865fc16bb14cdf03a4d,1.0,0.0,50.0,0.0,50.0,20.0,no,0.0,00020297d6--62979a51c5228a2201b5237d,50.0,player.vl_contra_belief,20.0,32.0,False,0.0,0.5
9,0002028871--629746cde7caf416d327e9c0,1.0,0.0,55.0,0.0,25.0,10.0,no,-50.0,00020297d6--6297a44355a82f0add58c02e,0.0,player.own_dg_belief,0.0,50.0,False,0.0,0.0
10,0002028871--629746c9343b1203f373e99d,1.0,0.0,30.0,0.0,80.0,80.0,no,-50.0,00020297d6--62979a1c1b437b49aa7b5826,0.0,player.own_dg_belief,0.0,50.0,False,0.0,0.0
11,0002028871--629746cc72b8b44b5c8d7a16,1.0,0.0,30.0,0.0,60.0,40.0,no,0.0,00020297d6--62979a2c0808263f550f504b,50.0,player.vl_pro_belief,60.0,7.100000000000001,True,0.25,0.75
12,0002028871--629746bdfc16bb14cdf028c3,1.0,0.0,75.0,0.0,12.0,85.0,no,0.0,00020297d6--6297a502286bd91e83da9320,50.0,player.vl_contra_belief,85.0,33.0,False,0.0,0.5
13,0002028871--629746c0318cc4235d14ee4e,1.0,0.0,80.0,-20.0,80.0,80.0,no,0.0,00020297d6--629799e2e7caf416d32b9248,50.0,player.own_dg_belief,-20.0,20.0,False,0.0,0.5
14,0002028871--629748630209472a2f14ada0,1.0,0.0,61.0,-50.0,5.0,10.0,no,0.0,00020297d6--6297a558035b7842af57f1a1,50.0,player.vl_pro_belief,5.0,47.9,False,0.0,0.5
