assignment_id,payoff
0002014eca--6290b18f27b7222acc3a9cd7,1.1
0002014eca--6290b19c631aea4812576470,0.5
0002014eca--6290b193592d6a258017cd30,1
0002014eca--6290b1a59c973a4d0b3ef6c0,0.5
0002014eca--6290b1ae8d75da35c1313cb4,1.5
0002014eca--6290b192ce71890706b3d452,1
0002014eca--6290b1af1cd4a2502ecd1c1c,0.8
0002014eca--6290b1a7035b7842af0414c7,0.7
0002014eca--6290b1921a1597570c012c2c,1
0002014eca--6290b1acf6a7361ea2ca7a47,0.8
0002014eca--6290b1900209472a2fd1e201,1.5
0002014eca--6290b1b2c3e04913db6d3b70,1.3
0002014eca--6290b1c7c5079d57c53dc217,0.5
0002014eca--6290b1d527b7222acc3aad48,1.2
0002014eca--6290b1cd035b7842af041709,1.3
0002014eca--6290b1c3095c8b301471c0bd,1
0002014eca--6290b218592d6a258017d48a,1
0002014eca--6290b210e7caf416d3f07031,1
0002014eca--6290b248be912653b51d88b4,0.8
0002014eca--6290b2209c973a4d0b3efa82,1
0002014eca--6290b250b8c35408656df314,1.2
0002014eca--6290b1f1df858e094c55cb65,1
0002014eca--6290b21372b8b44b5c42fa5d,0.5
0002014eca--6290b27675f2ea542294a0a3,1.5
0002014eca--6290b28e0808263f559f291f,1
0002014eca--6290b23572b8b44b5c42fca3,1.5
0002014eca--6290b2c0e796a155f0bc2a08,1
0002014eca--6290b25c77b65c5e4282334e,1.5
0002014eca--6290b2c9343b1203f32341a1,0.5
0002014eca--6290b3218717592fea17629b,0.5
0002014eca--6290b3281a1597570c0162b8,1
0002014eca--6290b3891a1597570c01661b,1
0002014eca--6290b4010db92334082eb992,1.1
0002014eca--6290b414be912653b51da9a4,1.2
0002014eca--6290b4d41a1597570c017910,0.9
0002014eca--6290b550df858e094c55f9e0,1.5
0002014eca--6290b56f56b7cb048ee836b6,1
0002014eca--6290b607e796a155f0bc69ad,1.5
0002014eca--6290b5aea743b42b6a8ea87d,0.5
0002014eca--6290b6f9be912653b51dcef8,1.5
0002014eca--6290b77d035b7842af04d8d7,1
0002014eca--6290b7908d75da35c131b477,1
0002014eca--6290b79c85c5c060ce78a61d,0.9
0002014eca--6290b7bf85c5c060ce78a6c0,0.9
0002014eca--6290b886ab45cb7cba7af06c,0.5
0002014eca--6290b8ebe7caf416d3f0c2b8,1
0002014eca--6290b91072b8b44b5c4358a7,1.5
0002014eca--6290b7f10808263f559f95b2,1.5
0002014eca--6290ba1072b8b44b5c436560,1.5
0002014eca--6290bc65df858e094c564dbf,1
